순위,상품명,판매가,작가,출판사,출시일자,분야
14,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","12,600",이치조 미사키,모모,20210628,소설
15,돈의 속성(300쇄 리커버에디션),"16,020",김승호,스노우폭스북스,20200615,경제/경영
16,트렌드 코리아 2022,"16,200",김난도 외,미래의창,20211006,경제/경영
17,질서 너머,"16,020",조던 피터슨,웅진지식하우스,20210322,인문
18,주식투자 무작정 따라하기(2020),"16,200",윤재수,길벗,20200110,경제/경영
19,작은 별이지만 빛나고 있어(20만 부 기념 한정판 에디션),"13,500",소윤,북로망스,20210929,시/에세이
20,흔한남매 7,"10,800",흔한남매 ,미래엔아이세움,20210310,어린이(초등)
21,부의 시나리오,"16,200",오건영,페이지2북스,20210607,경제/경영
22,기분이 태도가 되지 않게,"12,600",레몬심리,갤리온,20200630,자기계발
23,돈의 심리학,"17,820",모건 하우절,인플루엔셜,20210113,경제/경영
24,인간 실격,"8,100",다자이 오사무,민음사,20120410,소설
25,공간의 미래,"14,400",유현준,을유문화사,20210425,인문
26,좋은 사람에게만 좋은 사람이면 돼,"13,320",김재식,위즈덤하우스,20210321,시/에세이
27,모래알만 한 진실이라도,"15,300",박완서,세계사,20220630,시/에세이
28,트렌드 코리아 2021,"16,200",김난도 외,미래의창,20201013,경제/경영
29,메타버스,"15,300",김상균,플랜비디자인,20201218,경제/경영
30,불편한 편의점(벚꽃 에디션),"12,600",김호연,나무옆의자,20210420,소설
31,파친코 1,"13,050",이민진,문학사상,20180309,소설
32,어린이라는 세계,"13,500",김소영,사계절,20201116,시/에세이
33,마지막 몰입: 나를 넘어서는 힘,"15,120",짐 퀵,비즈니스북스,20210223,자기계발
34,귀멸의 칼날 23(완결),"4,500",고토게 코요하루,학산문화사,20210425,만화
35,제12회 젊은작가상 수상작품집(2021),"12,600",전하영 외,문학동네,20210407,소설
36,인생은 실전이다,"16,650",주언규 외,상상스퀘어,20210908,시/에세이
37,월가의 영웅,"23,400",피터 린치 외,국일증권경제연구소,20210730,경제/경영
38,매매의 기술,"16,200",박병창,포레스트북스,20210514,경제/경영
39,부의 추월차선,"13,500",엠제이 드마코,토트,20130820,경제/경영
40,그러라 그래,"13,050",양희은,김영사,20210412,시/에세이
41,데일 카네기 인간관계론,"10,350",데일 카네기,현대지성,20191007,자기계발
42,햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,"13,320",장명숙,김영사,20210818,시/에세이
43,코스모스,"17,910",칼 세이건,사이언스북스,20100120,과학
44,꽃을 보듯 너를 본다,"9,900",나태주,지혜,20201130,시/에세이
45,메타버스 새로운 기회,"16,920",김상균 외,베가북스,20210608,경제/경영
46,사피엔스,"24,120",유발 하라리,김영사,20230401,인문
47,총 균 쇠,"25,200",재레드 다이아몬드,문학사상,20051219,역사/문화
48,오은영의 화해,"14,400",오은영,코리아닷컴,20190110,자기계발
49,이토록 공부가 재미있어지는 순간(30만부 기념 매직 에디션),"13,500",박성혁,다산북스,20200727,청소년
50,우리가 빛의 속도로 갈 수 없다면,"12,600",김초엽,허블,20190624,소설
51,"아들아, 돈 공부해야 한다","14,220",정선용(정스토리),알에이치코리아,20210325,경제/경영
52,작별하지 않는다,"12,600",한강,문학동네,20210909,소설
53,왜 일하는가,"14,400",이나모리 가즈오,다산북스,20210412,자기계발
54,강원국의 어른답게 말합니다,"14,400",강원국,웅진지식하우스,20210526,자기계발
55,나의 첫 투자 수업 1: 마인드편,"15,300",김정환 외,트러스트북스,20210325,경제/경영
